0.0,Rest
51.91,G#1
25.96,G#0
207.65,G#3
103.83,G#2
830.61,G#5
415.3,G#4
3322.44,G#7
1661.22,G#6
6644.88,G#8
3135.96,G7
1567.98,G6
783.99,G5
392.0,G4
196.0,G3
98.0,G2
49.0,G1
24.5,G0
6271.93,G8
4978.08,D#8
7040.0,A8
493.88,B4
987.77,B5
1975.53,B6
3951.07,B7
30.87,B0
61.74,B1
123.47,B2
246.94,B3
7902.13,B8
23.12,F#0
46.25,F#1
92.5,F#2
185.0,F#3
369.99,F#4
739.99,F#5
1479.98,F#6
2959.96,F#7
5919.91,F#8
5274.04,E8
659.25,E5
329.63,E4
2637.02,E7
1318.51,E6
41.2,E1
20.6,E0
164.81,E3
82.41,E2
233.08,A#3
116.54,A#2
58.27,A#1
29.14,A#0
3729.31,A#7
1864.66,A#6
932.33,A#5
466.16,A#4
7458.62,A#8
4186.01,C8
130.81,C3
65.41,C2
32.7,C1
16.35,C0
2093.0,C7
1046.5,C6
523.25,C5
261.63,C4
21.83,F0
43.65,F1
87.31,F2
174.61,F3
349.23,F4
698.46,F5
1396.91,F6
2793.83,F7
5587.65,F8
55.0,A1
27.5,A0
220.0,A3
110.0,A2
880.0,A5
440.0,A4
3520.0,A7
1760.0,A6
1244.51,D#6
2489.02,D#7
311.13,D#4
622.25,D#5
77.78,D#2
155.56,D#3
19.45,D#0
38.89,D#1
4434.92,C#8
554.37,C#5
277.18,C#4
2217.46,C#7
1108.73,C#6
34.65,C#1
17.32,C#0
138.59,C#3
69.3,C#2
4698.63,D8
1174.66,D6
2349.32,D7
293.66,D4
587.33,D5
73.42,D2
146.83,D3
18.35,D0
36.71,D1
